Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Ampittia virgata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Anastrus sempiternus,421.689385,2,193.27858,-0.824979833,193.27858,-1.029763287,
Hesperiidae,Anatrytone logan,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ancistroides gemmifer,325.050972,1,51.8437,-2.303016405,51.8437,-2.036770203,
Hesperiidae,Ancyloxypha numitor,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Andronymus neander,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Anisynta cynone,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Anisynta dominula,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Anisynta tillyardi,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ankola fan,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Anthoptus epictetus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Antipodia atralba,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Antipodia chaostola,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Apallaga opalinus,325.049922,1,69.4758,-1.866533435,69.4758,-4.04570489,
Hesperiidae,Apostictopterus fuliginosus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Apyrrothrix araxes,325.050512,1,80.4628,-2.057024672,80.4628,-2.90510324,
Hesperiidae,Argon lota,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Arita arita,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Aroma aroma,325.050732,1,48.7098,-2.291233477,48.7098,-2.268063844,
Hesperiidae,Arotis derasa,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Arrhenes dschilus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Arrhenes marnas,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Arteurotia tractipennis,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,
Hesperiidae,Artitropa comus,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Artitropa erinnys,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Asbolis capucinus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Aspitha aspitha,325.050844,1,121.5324,-2.146602916,121.5324,-1.574962554,
Hesperiidae,Astictopterus jama,431.785122,2,213.46856,-0.700845279,213.46856,-0.543394652,
Hesperiidae,Astraptes alector,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Astraptes anaphus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Astraptes enotrus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Astraptes talus,522.778164,3,210.871048,-0.808857445,184.5839273,-1.572237385,
Hesperiidae,Atalopedes campestris,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Atarnes sallei,325.05054,1,142.4068,-1.222403248,142.4068,-1.594470017,
Hesperiidae,Atrytone arogos,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Atrytonopsis hianna,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Augiades crinisus,325.050484,1,103.4133,-1.711178101,103.4133,-2.016578847,
Hesperiidae,Autochton cellus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Badamia exclamationis,638.38437,4,225.596324,-0.614544502,187.016624,-1.528015831,
Hesperiidae,Baoris farri,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Baoris oceia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Baracus vittatus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Bibasis sena,567.36355,3,244.0321387,-0.265089828,240.5951703,-0.241288468,
Hesperiidae,Borbo borbonica,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Borbo cinnara,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Bungalotis astylos,325.050262,1,93.3981,-1.896528207,93.3981,-1.768397783,
Hesperiidae,Bungalotis erythus,325.050262,1,120,-2.026462953,120,-1.870853135,
Hesperiidae,Burara harisa,567.550842,3,252.1724733,-0.156492407,232.8278333,-0.302089258,
Hesperiidae,Burara oedipodea,443.6292,2,237.158208,-0.306345099,237.158208,-0.417180634,
Hesperiidae,Butleria flavomaculatus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Cabares potrillo,325.050576,1,61.1816,-3.378486601,61.1816,-2.556198427,
Hesperiidae,Caenides dacela,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Calleagris jamesoni,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Calpodes ethlius,465.649832,4,99.210095,-2.734199841,89.4187375,-4.174233375,
Hesperiidae,Caltoris cormasa,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Caprona pillaana,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Carcharodus alceae,443.629704,2,237.158012,-0.331836426,237.158012,-0.372149068,
Hesperiidae,Carcharodus lavatherae,325.050552,1,142,-1.192269368,142,-1.440412843,
Hesperiidae,Carrhenes canescens,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Carterocephalus palaemon,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Carystus phorcus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Celaenorrhinus aurivittata,325.050562,1,64.188,-2.42923281,64.188,-1.935374889,
Hesperiidae,Celaenorrhinus leucocera,325.049922,1,69.4758,-1.866533435,69.4758,-4.04570489,
Hesperiidae,Celaenorrhinus patula,325.049922,1,69.4758,-1.866533435,69.4758,-4.04570489,
Hesperiidae,Celotes nessus,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Cephrenes augiades,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Ceratrichia phocion,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Chaetocneme critomedia,823.622587,5,259.3427698,-0.160245914,242.6957316,-0.003164712,
Hesperiidae,Chioides albofasciatus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Chioides catillus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Chiomara asychis,564.571157,3,242.1700833,-0.460841819,236.8709733,-0.310969374,
Hesperiidae,Chiomara georgina,325.050687,1,102.661,-1.765844354,102.661,-1.474040382,
Hesperiidae,Chiomara mithrax,325.050552,1,142,-1.192269368,142,-1.440412843,
Hesperiidae,Choaspes benjaminii,325.050662,1,136.383,-1.619535704,136.383,-1.363184813,
Hesperiidae,Chondrolepis niveicornis,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Choranthus haitensis,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Choranthus radians,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Chrysoplectrum perniciosus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Chrysoplectrum pervivax,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Cobalus calvina,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Codatractus alcaeus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Codatractus arizonensis,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Codatractus valeriana,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Coeliades forestan,993.570528,7,233.138138,-0.811048929,217.4947153,-0.428770034,
Hesperiidae,Coeliades ramanatek,443.630134,2,237.158592,-0.361834223,237.158592,-0.363620756,
Hesperiidae,Cogia calchas,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Cogia hippalus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Conga chydaea,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,
Hesperiidae,Copaeodes aurantiaca,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Corticea corticea,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Creonpyge creon,325.050262,1,120,-2.026462953,120,-1.870853135,
Hesperiidae,Croitana croites,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Croniades pieria,325.05054,1,142.4068,-1.222403248,142.4068,-1.594470017,
Hesperiidae,Cupitha purreea,448.784415,2,247.469163,-0.180250929,247.469163,-0.245671323,
Hesperiidae,Cycloglypha thrasibulus,460.962982,2,271.825172,-0.009280886,271.825172,-0.031173441,
Hesperiidae,Cynea cynea,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Daimio tethys,558.688518,3,246.2641973,-0.349968233,221.0116293,-0.729197602,
Hesperiidae,Darpa pteria,325.05054,1,142.4068,-1.222403248,142.4068,-1.594470017,
Hesperiidae,Decinea decinea,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Dispar compacta,533.472742,3,215.3488133,-0.762278784,201.4958933,-1.175847685,
Hesperiidae,Drephalys kidonoi,325.050662,1,92.1087,-1.884379727,92.1087,-2.345762275,
Hesperiidae,Dubiella dubius,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Dyscophellus porcius,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,
Hesperiidae,Eagris sabadius,509.226384,3,192.2894793,-1.226863717,176.062146,-1.623653661,
Hesperiidae,Eantis mithridates,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Eantis thraso,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Ebusus ebusus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Eetion elia,325.050667,1,143.8503,-1.298538515,143.8503,-1.477383981,
Hesperiidae,Elbella iphinous,460.963225,2,271.825215,0.079071779,271.825215,0.043440059,
Hesperiidae,Elbella patrobas,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Elbella scylla,443.6292,2,237.158208,-0.306345099,237.158208,-0.417180634,
Hesperiidae,Eogenes alcides,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Epargyreus clarus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Epargyreus spanna,431.791762,2,213.48309,-0.564628522,213.48309,-0.631300247,
Hesperiidae,Ephyriades arcas,567.36434,3,244.0322853,-0.41005725,240.5952097,-0.327481588,
Hesperiidae,Ephyriades brunnea,440.836947,2,231.572235,-0.402437889,231.572235,-0.465626195,
Hesperiidae,Eracon paulinus,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Erionota acroleucus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Erionota thrax,642.926142,5,178.551428,-2.069623941,149.018574,-2.295772483,
Hesperiidae,Erynnis brizo,325.050512,1,80.4628,-2.057024672,80.4628,-2.90510324,
Hesperiidae,Erynnis horatius,437.752012,2,225.40311,-0.494066026,225.40311,-0.491699937,
Hesperiidae,Erynnis tages,448.784712,2,247.46885,-0.387688618,247.46885,-0.278652797,
Hesperiidae,Euphyes arpa,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Euphyes dion,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Euriphellus euribates,325.0502,1,54.482,-2.063227935,54.482,-2.37105666,
Hesperiidae,Euschemon rafflesia,325.050763,1,126.5599,-1.590601811,126.5599,-1.430985188,
Hesperiidae,Exometoeca nycteris,325.050162,1,101.6682,-1.673403163,101.6682,-1.769001778,
Hesperiidae,Falga jeconia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Fresna netopha,443.629754,2,237.158162,-0.427531584,237.158162,-0.364226091,
Hesperiidae,Fresna nyassae,443.629754,2,237.158162,-0.427531584,237.158162,-0.364226091,
Hesperiidae,Gamia buchholzi,439.650792,2,229.20127,-0.443553881,229.20127,-0.487006712,
Hesperiidae,Gamia shelleyi,439.650792,2,229.20127,-0.443553881,229.20127,-0.487006712,
Hesperiidae,Gangara thyrsis,423.259982,2,196.4188,-1.257814638,196.4188,-0.723861207,
Hesperiidae,Gegenes pumilio,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Gerosis bhagava,460.809012,2,271.51669,-0.204480413,271.51669,-0.073360632,
Hesperiidae,Gesta gesta,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Gomalia elma,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Grais stigmaticus,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Gretna cylinda,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,
Hesperiidae,Gunayan rubricollis,325.0502,1,54.482,-2.063227935,54.482,-2.37105666,
Hesperiidae,Halotus rica,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Halpe porus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Hasora badra,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Hasora chromus,628.694583,4,231.2393793,-0.687845522,219.830344,-0.603615713,
Hesperiidae,Helias phalaenoides,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Heliopetes ericetorum,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Heliopyrgus domicella,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Herimosa albovenata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Hesperia comma,554.630612,3,243.5589933,-0.422702601,215.6009833,-0.689618725,
Hesperiidae,Hesperia meskei,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Hesperilla ornata,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Hesperopsis alpheus,325.050352,1,87.3223,-2.053141496,87.3223,-1.935153911,
Hesperiidae,Heteropterus morpheus,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,
Hesperiidae,Hewitsoniella migonitis,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Hidari irava,431.784452,2,213.46789,-0.660387465,213.46789,-0.659605516,
Hesperiidae,Hyarotis adrastus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Hylephila phyleus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Hypoleucis tripunctata,325.050972,1,51.8437,-2.303016405,51.8437,-2.036770203,
Hesperiidae,Iambrix salsala,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Isma bononia,325.050732,1,76.5949,-1.833974708,76.5949,-1.806016693,
Hesperiidae,Isoteinon lamprospilus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Jemadia pseudognetus,325.050763,1,169.1905,-1.018220449,169.1905,-1.042107971,
Hesperiidae,Jonaspyge aesculapus,325.050751,1,149.2627,-1.34958374,149.2627,-1.31120009,
Hesperiidae,Kedestes barberae,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Lepella lepeletier,431.785142,2,213.46848,-0.581284411,213.46848,-0.607744219,
Hesperiidae,Leptalina unicolor,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Lerema accius,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Lerodea eufala,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,
Hesperiidae,Leucochitonea levubu,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Lotongus calathus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Lycas argentea,325.050952,1,11.01356,-2.752390494,11.01356,-2.405668855,
Hesperiidae,Lychnuchoides ozias,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,
Hesperiidae,Matapa aria,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Megathymus streckeri,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Megathymus ursus,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Megathymus yuccae,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Melphinyet flavina,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,
Hesperiidae,Melphinyet tarace,325.050651,1,123.7924,-1.620257173,123.7924,-1.539543392,
Hesperiidae,Mesodina halyzia,325.050232,1,117.202,-1.671568967,117.202,-1.496469613,
Hesperiidae,Metisella metis,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Meza meza,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Microceris variicolor,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Mimoniades ocyalus,325.050685,1,115.2222,-1.687745669,115.2222,-2.808993633,
Hesperiidae,Mnasilus allubita,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Moeros moeros,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Monza punctata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Morvina morvus,325.050657,1,67.3231,-1.972794239,67.3231,-2.556312816,
Hesperiidae,Morys compta,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Motasingha trimaculata,431.784672,2,213.46811,-0.651639322,213.46811,-0.645360576,
Hesperiidae,Myscelus amystis,404.199254,2,158.29681,-1.996279415,158.29681,-1.296321149,
Hesperiidae,Myscelus belti,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,
Hesperiidae,Myscelus epimachia,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,
Hesperiidae,Myscelus nobilis,325.05007,1,75.9974,-3.075440647,75.9974,-2.017542043,
Hesperiidae,Mysoria barcastus,325.050658,1,125.2141,-1.523911704,125.2141,-1.390436614,
Hesperiidae,Narcosius colossus,460.962702,2,271.824592,-0.248592257,271.824592,-0.036403117,
Hesperiidae,Nascus phocus,404.199254,2,158.29681,-1.996279415,158.29681,-1.296321149,
Hesperiidae,Nastra julia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Neohesperilla croceus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Neohesperilla xanthomera,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Neoxeniades braesia,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,
Hesperiidae,Netrobalane canopus,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Netrocoryne repanda,1333.492996,8,345.8940925,1.618692483,269.662316,1.485095596,
Hesperiidae,Noctuana haematospila,325.050892,1,189.1223,-0.752323687,189.1223,-0.760538946,
Hesperiidae,Notocrypta curvifascia,429.443172,3,108.43506,-2.655124244,100.34913,-2.965278098,
Hesperiidae,Notocrypta feisthamelii,477.131932,4,105.4301883,-3.465124763,99.1062075,-3.363899602,
Hesperiidae,Nyctelius nyctelius,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Oarisma garita,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ochlodes sylvanoides,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ocybadistes flavovittata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ocybadistes walkeri,533.472942,3,215.34888,-0.795490332,201.4959267,-1.152596629,
Hesperiidae,Odina hieroglyphica,325.050802,1,103.1855,-1.772676485,103.1855,-1.862092505,
Hesperiidae,Odontoptilum angulata,429.309384,2,208.517279,-0.756205115,208.517279,-0.630455445,
Hesperiidae,Oerane microthyrus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Oileides azines,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Oligoria maculata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Onophas columbaria,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Oreisplanus munionga,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Oriens gola,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Orphe gerasa,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Orses cynisca,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Osmodes laronia,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,
Hesperiidae,Oxynetra stangelandi,325.050892,1,189.1223,-0.752323687,189.1223,-0.760538946,
Hesperiidae,Oxynthes corusca,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Panoquina lucas,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Panoquina ocola,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Panoquina panoquin,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,
Hesperiidae,Papias subcostulata,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Paracarystus hypargyra,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,
Hesperiidae,Parachoranthus magdalia,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Paramimus scurra,460.963185,2,271.825175,0.023282191,271.825175,-0.016085402,
Hesperiidae,Paratrytone snowi,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Pardaleodes edipus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Pardaleodes incerta,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Parelbella ahira,460.962885,2,271.824775,-0.00370565,271.824775,0.092621764,
Hesperiidae,Parelbella macleannani,325.050685,1,115.2222,-1.687745669,115.2222,-2.808993633,
Hesperiidae,Parnara apostata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Parnara guttatus,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,
Hesperiidae,Parosmodes morantii,540.26846,3,222.531712,-0.650919543,207.9051427,-0.862656325,
Hesperiidae,Pasma tasmanicus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Passova gellias,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,
Hesperiidae,Passova passova,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,
Hesperiidae,Pellicia arina,325.050667,1,143.8503,-1.298538515,143.8503,-1.477383981,
Hesperiidae,Pellicia dimidiata,325.050802,1,103.1855,-1.772676485,103.1855,-1.862092505,
Hesperiidae,Pelopidas mathias,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,
Hesperiidae,Perichares lotus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Phanus vitreus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Phareas coeleste,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Phocides pigmalion,325.050675,1,118.5317,-1.567464241,118.5317,-1.534573454,
Hesperiidae,Phocides polybius,325.050685,1,115.2222,-1.687745669,115.2222,-2.808993633,
Hesperiidae,Pholisora catullus,325.050352,1,87.3223,-2.053141496,87.3223,-1.935153911,
Hesperiidae,Pholisora mejicanus,325.050352,1,87.3223,-2.053141496,87.3223,-1.935153911,
Hesperiidae,Pirdana hyela,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Piruna aea,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Piruna pirus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Plastingia naga,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Platylesches picanini,325.050657,1,67.3231,-1.972794239,67.3231,-2.556312816,
Hesperiidae,Ploetzia amygdalis,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Poanes zabulon,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Polites vibex,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
