Tree_label,Lep_family,Lep_accepted_name,Host_order,Host_family,Count of Lep_accepted_name,Ordinal_Proportion*,Familial_Proportion**
BN003418_LEP59327_Hesperiidae_Hesperiinae_Hesperiini_Aides_duma,Hesperiidae,Aides duma,Arecales,Arecaceae,3,100,100
BN000096_620_Hesperiidae_Tagiadinae_Celaenorrhinini_Alenia_namaqua,Hesperiidae,Alenia namaqua,Lamiales,Acanthaceae,2,100,100
BN000097_EI16D306_Hesperiidae_Coeliadinae_X_Allora_major,Hesperiidae,Allora major,Malpighiales,Malpighiaceae,1,100,100
BN000102_LEP40105_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_eos,Hesperiidae,Amblyscirtes eos,Brassicales,Brassicaceae,1,50,50
BN000102_LEP40105_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_eos,Hesperiidae,Amblyscirtes eos,Poales,Poaceae,1,50,50
BN000529_31_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_simius,Hesperiidae,Amblyscirtes simius,Poales,Poaceae,5,100,100
BN000108_615_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_dioscorides,Hesperiidae,Ampittia dioscorides,Poales,Poaceae,22,100,100
BN000109_FH16Y028_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_virgata,Hesperiidae,Ampittia virgata,Poales,Poaceae,2,100,100
BN000110_LEP41820_Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus,Hesperiidae,Anastrus sempiternus,Myrtales,Combretaceae,1,100,16.66666667
BN000110_LEP41820_Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus,Hesperiidae,Anastrus sempiternus,Myrtales,Myrtaceae,5,100,83.33333333
BN000111_LEP28753_Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan,Hesperiidae,Anatrytone logan,Poales,Poaceae,28,100,100
RE06E025_X_Hesperiidae_Hesperiinae_Erionotini_Ancistroides_gemmifer_X_ME,Hesperiidae,Ancistroides gemmifer,Zingiberales,Zingiberaceae,4,100,100
BN000120_LEP27503_Hesperiidae_Hesperiinae_Hesperiini_Ancyloxypha_numitor,Hesperiidae,Ancyloxypha numitor,Poales,Poaceae,32,100,100
BN000124_BNSZS00313_Hesperiidae_Hesperiinae_X_Andronymus_neander,Hesperiidae,Andronymus neander,Fabales,Fabaceae,5,100,100
BN005458_MFB18B046_Hesperiidae_Trapezitinae_X_Anisynta_cynone,Hesperiidae,Anisynta cynone,Poales,Poaceae,14,100,100
SRR9330369_X_Hesperiidae_Trapezitinae_X_Anisynta_dominula,Hesperiidae,Anisynta dominula,Poales,Poaceae,4,100,100
BN000128_301_Hesperiidae_Trapezitinae_X_Anisynta_tillyardi,Hesperiidae,Anisynta tillyardi,Poales,Poaceae,7,100,100
BN003440_LEP59353_Hesperiidae_Hesperiinae_Ceratrichiini_Ankola_fan,Hesperiidae,Ankola fan,Poales,Poaceae,1,100,100
BN000130_LEP32047_Hesperiidae_Hesperiinae_Hesperiini_Anthoptus_epictetus,Hesperiidae,Anthoptus epictetus,Poales,Poaceae,1,100,100
BN000135_617_Hesperiidae_Trapezitinae_X_Antipodia_atralba,Hesperiidae,Antipodia atralba,Poales,Cyperaceae,12,100,100
BN005460_MFB17A081_Hesperiidae_Trapezitinae_X_Antipodia_chaostola,Hesperiidae,Antipodia chaostola,Poales,Cyperaceae,18,100,100
SRR9330395_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Apallaga_opalinus,Hesperiidae,Apallaga opalinus,Lamiales,Acanthaceae,3,100,100
BN007003_LEP79670_Hesperiidae_Barcinae_X_Apostictopterus_fuliginosus,Hesperiidae,Apostictopterus fuliginosus,Poales,Poaceae,1,100,100
BN000138_LEP40127_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Apyrrothrix_araxes,Hesperiidae,Apyrrothrix araxes,Fagales,Fagaceae,2,100,100
BN003660_LEP61243_Hesperiidae_Hesperiinae_Hesperiini_Argon_lota,Hesperiidae,Argon lota,Arecales,Arecaceae,1,100,100
BN003685_LEP61268_Hesperiidae_Hesperiinae_Hesperiini_Tigasis_arita,Hesperiidae,Arita arita,Poales,Poaceae,1,100,100
BN003668_LEP61251_Hesperiidae_Hesperiinae_Hesperiini_Aroma_aroma,Hesperiidae,Aroma aroma,Pandanales,Cyclanthaceae,2,100,100
BN000140_495_Hesperiidae_Hesperiinae_Hesperiini_Arotis_derasa,Hesperiidae,Arotis derasa,Poales,Cyperaceae,1,100,100
BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus,Hesperiidae,Arrhenes dschilus,Poales,Poaceae,17,100,100
BN006514_LEP33725_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_marnas,Hesperiidae,Arrhenes marnas,Poales,Poaceae,8,100,100
SRR7174564_X_Hesperiidae_Pyrginae_Carcharodini_Arteurotia_tractipennis,Hesperiidae,Arteurotia tractipennis,Malpighiales,Euphorbiaceae,3,100,100
BN003565_LEP61210_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_comus,Hesperiidae,Artitropa comus,Asparagales,Asparagaceae,8,100,100
BN006072_KA18141ABRI_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_erinnys,Hesperiidae,Artitropa erinnys,Asparagales,Asparagaceae,15,100,100
BN000142_LEP46510_Hesperiidae_Hesperiinae_Hesperiini_Asbolis_capucinus,Hesperiidae,Asbolis capucinus,Arecales,Arecaceae,17,100,100
BN004759_EBMGCLHESP0010_Hesperiidae_Pyrrhopyginae_Passovini_Aspitha_aspitha,Hesperiidae,Aspitha aspitha,Sapindales,Sapindaceae,1,100,100
BN000145_MY2016HES63_Hesperiidae_Hesperiinae_Astictopterini_Astictopterus_jama,Hesperiidae,Astictopterus jama,Poales,Poaceae,6,85.71428571,85.71428571
BN000145_MY2016HES63_Hesperiidae_Hesperiinae_Astictopterini_Astictopterus_jama,Hesperiidae,Astictopterus jama,Zingiberales,Marantaceae,1,14.28571429,14.28571429
SRR7174510_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_alector,Hesperiidae,Astraptes alector,Fabales,Fabaceae,2,100,100
SRR7174509_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_anaphus,Hesperiidae,Astraptes anaphus,Fabales,Fabaceae,9,100,100
SRR7174545_X_Hesperiidae_Eudaminae_Eudamini_Astraptes_enotrus,Hesperiidae,Astraptes enotrus,Fabales,Fabaceae,1,100,100
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus,Hesperiidae,Astraptes talus,Fabales,Fabaceae,4,40,40
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus,Hesperiidae,Astraptes talus,Sapindales,Meliaceae,5,60,50
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus,Hesperiidae,Astraptes talus,Sapindales,Sapindaceae,1,60,10
BN000154_LEP40074_Hesperiidae_Hesperiinae_Hesperiini_Atalopedes_campestris,Hesperiidae,Atalopedes campestris,Poales,Poaceae,30,100,100
BN000155_188_Hesperiidae_Pyrginae_Achlyodini_Atarnes_sallei,Hesperiidae,Atarnes sallei,Magnoliales,Annonaceae,2,100,100
BN003590_LEP61235_Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos,Hesperiidae,Atrytone arogos,Poales,Poaceae,13,100,100
SRR7174423_X_Hesperiidae_Hesperiinae_Hesperiini_Atrytonopsis_hianna,Hesperiidae,Atrytonopsis hianna,Poales,Poaceae,13,100,100
BN003436_LEP59345_Hesperiidae_Eudaminae_Entheini_Augiades_crinisus,Hesperiidae,Augiades crinisus,Ericales,Lecythidaceae,1,100,100
SRR7174389_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_cellus,Hesperiidae,Autochton cellus,Fabales,Fabaceae,20,100,100
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis,Hesperiidae,Badamia exclamationis,Lamiales,Bignoniaceae,2,8.791208791,2.197802198
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis,Hesperiidae,Badamia exclamationis,Lamiales,Oleaceae,6,8.791208791,6.593406593
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis,Hesperiidae,Badamia exclamationis,Malpighiales,Malpighiaceae,23,25.27472527,25.27472527
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis,Hesperiidae,Badamia exclamationis,Myrtales,Combretaceae,60,65.93406593,65.93406593
BN000165_MY2016HES16_Hesperiidae_Hesperiinae_Baorini_Baoris_farri_farri,Hesperiidae,Baoris farri,Poales,Poaceae,19,100,100
BN000166_DL11Q040_Hesperiidae_Hesperiinae_Baorini_Baoris_oceia,Hesperiidae,Baoris oceia,Poales,Poaceae,9,100,100
BN007111_LEP79327_Hesperiidae_Hesperiinae_Aeromachini_Baracus_vittatus,Hesperiidae,Baracus vittatus,Poales,Poaceae,5,100,100
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena,Hesperiidae,Bibasis sena,Caryophyllales,Nyctaginaceae,3,16.66666667,16.66666667
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena,Hesperiidae,Bibasis sena,Malpighiales,Malpighiaceae,5,27.77777778,27.77777778
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena,Hesperiidae,Bibasis sena,Myrtales,Combretaceae,10,55.55555556,55.55555556
BN000170_BNSZS00335_Hesperiidae_Hesperiinae_Baorini_Borbo_borbonica,Hesperiidae,Borbo borbonica,Poales,Poaceae,40,100,100
BN000171_MY2016HES41_Hesperiidae_Hesperiinae_Baorini_Borbo_cinnara,Hesperiidae,Borbo cinnara,Poales,Poaceae,187,100,100
BN000182_LEP28822_Hesperiidae_Eudaminae_Phocidini_Bungalotis_astylos,Hesperiidae,Bungalotis astylos,Rosales,Urticaceae,1,100,100
SRR7174382_X_Hesperiidae_Eudaminae_Phocidini_Bungalotis_erythus,Hesperiidae,Bungalotis erythus,Apiales,Araliaceae,3,100,100
BN000189_MY2016HES43_Hesperiidae_Coeliadinae_X_Burara_harisa,Hesperiidae,Burara harisa,Apiales,Araliaceae,4,23.52941176,23.52941176
BN000189_MY2016HES43_Hesperiidae_Coeliadinae_X_Burara_harisa,Hesperiidae,Burara harisa,Gentianales,Rubiaceae,3,17.64705882,17.64705882
BN000189_MY2016HES43_Hesperiidae_Coeliadinae_X_Burara_harisa,Hesperiidae,Burara harisa,Zingiberales,Zingiberaceae,10,58.82352941,58.82352941
BN000193_LEP37047_Hesperiidae_Coeliadinae_X_Burara_oedipodea,Hesperiidae,Burara oedipodea,Malpighiales,Malpighiaceae,14,63.63636364,63.63636364
BN000193_LEP37047_Hesperiidae_Coeliadinae_X_Burara_oedipodea,Hesperiidae,Burara oedipodea,Myrtales,Combretaceae,8,36.36363636,36.36363636
SRR7174380_X_Hesperiidae_Heteropterinae_Butleriini_Butleria_flavomaculatus,Hesperiidae,Butleria flavomaculatus,Poales,Poaceae,1,100,100
BN000196_499_Hesperiidae_Eudaminae_Eudamini_Autochton_potrillo,Hesperiidae,Cabares potrillo,Lamiales,Verbenaceae,3,100,100
BN000198_566_Hesperiidae_Hesperiinae_Astictopterini_Caenides_dacela,Hesperiidae,Caenides dacela,Arecales,Arecaceae,6,100,100
BN000202_Rvcoll11K159_Hesperiidae_Tagiadinae_Tagiadini_Calleagris_jamesoni,Hesperiidae,Calleagris jamesoni,Fabales,Fabaceae,2,100,100
BN000207_144_Hesperiidae_Hesperiinae_Hesperiini_Calpodes_ethlius,Hesperiidae,Calpodes ethlius,Zingiberales,Cannaceae,28,100,58.33333333
BN000207_144_Hesperiidae_Hesperiinae_Hesperiini_Calpodes_ethlius,Hesperiidae,Calpodes ethlius,Zingiberales,Heliconiaceae,2,100,4.166666667
BN000207_144_Hesperiidae_Hesperiinae_Hesperiini_Calpodes_ethlius,Hesperiidae,Calpodes ethlius,Zingiberales,Marantaceae,17,100,35.41666667
BN000207_144_Hesperiidae_Hesperiinae_Hesperiini_Calpodes_ethlius,Hesperiidae,Calpodes ethlius,Zingiberales,Zingiberaceae,1,100,2.083333333
BN000208_MY2016HES50_Hesperiidae_Hesperiinae_Baorini_Caltoris_cormasa,Hesperiidae,Caltoris cormasa,Poales,Poaceae,3,100,100
BN000213_Rvcoll15D054_Hesperiidae_Tagiadinae_Tagiadini_Caprona_pillaana,Hesperiidae,Caprona pillaana,Malvales,Malvaceae,17,100,100
BN000214_LEP50734_Hesperiidae_Pyrginae_Carcharodini_Carcharodus_alceae,Hesperiidae,Carcharodus alceae,Malpighiales,Euphorbiaceae,2,5.882352941,5.882352941
BN000214_LEP50734_Hesperiidae_Pyrginae_Carcharodini_Carcharodus_alceae,Hesperiidae,Carcharodus alceae,Malvales,Malvaceae,32,94.11764706,94.11764706
BN000218_RVcoll08R211_Hesperiidae_Pyrginae_Carcharodini_Muschampia_lavatherae,Hesperiidae,Carcharodus lavatherae,Lamiales,Lamiaceae,2,100,100
BN000222_RV04I110_Hesperiidae_Pyrginae_Pyrgini_Carrhenes_canescens,Hesperiidae,Carrhenes canescens,Malvales,Malvaceae,2,100,100
SRR7174471_X_Hesperiidae_Heteropterinae_Heteropterini_Carterocephalus_palaemon,Hesperiidae,Carterocephalus palaemon,Poales,Poaceae,47,100,100
SRR7174425_X_Hesperiidae_Hesperiinae_Hesperiini_Carystus_phorcus,Hesperiidae,Carystus phorcus,Arecales,Arecaceae,1,100,100
SRR9330394_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_aurivittatus,Hesperiidae,Celaenorrhinus aurivittata,Lamiales,Oleaceae,2,100,100
BN000235_YI16P234_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_leucocera,Hesperiidae,Celaenorrhinus leucocera,Lamiales,Acanthaceae,16,100,100
SRR9330396_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_patula,Hesperiidae,Celaenorrhinus patula,Lamiales,Acanthaceae,1,100,100
BN000244_LEP40084_Hesperiidae_Pyrginae_Pyrgini_Celotes_nessus,Hesperiidae,Celotes nessus,Malvales,Malvaceae,20,100,100
BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades,Hesperiidae,Cephrenes augiades,Arecales,Arecaceae,290,100,100
BN000252_BNSZS00096_Hesperiidae_Hesperiinae_Ceratrichiini_Ceratrichia_phocion,Hesperiidae,Ceratrichia phocion,Poales,Poaceae,2,100,100
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia,Hesperiidae,Chaetocneme critomedia,Laurales,Lauraceae,20,62.5,62.5
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia,Hesperiidae,Chaetocneme critomedia,Magnoliales,Annonaceae,4,12.5,12.5
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia,Hesperiidae,Chaetocneme critomedia,Malpighiales,Euphorbiaceae,4,12.5,12.5
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia,Hesperiidae,Chaetocneme critomedia,Malvales,Malvaceae,2,6.25,6.25
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia,Hesperiidae,Chaetocneme critomedia,Myrtales,Myrtaceae,2,6.25,6.25
SRR7174540_X_Hesperiidae_Eudaminae_Eudamini_Chioides_albofasciatus,Hesperiidae,Chioides albofasciatus,Fabales,Fabaceae,5,100,100
BN000255_LEP41169_Hesperiidae_Eudaminae_Eudamini_Chioides_catillus,Hesperiidae,Chioides catillus,Fabales,Fabaceae,14,100,100
BN000256_193_Hesperiidae_Pyrginae_Erynnini_Chiothion_asychis,Hesperiidae,Chiomara asychis,Fabales,Fabaceae,1,16.66666667,16.66666667
BN000256_193_Hesperiidae_Pyrginae_Erynnini_Chiothion_asychis,Hesperiidae,Chiomara asychis,Lamiales,Lamiaceae,1,16.66666667,16.66666667
BN000256_193_Hesperiidae_Pyrginae_Erynnini_Chiothion_asychis,Hesperiidae,Chiomara asychis,Malpighiales,Malpighiaceae,4,66.66666667,66.66666667
SRR7174467_X_Hesperiidae_Pyrginae_Erynnini_Chiomara_georgina,Hesperiidae,Chiomara georgina,Malpighiales,Malpighiaceae,4,100,100
BN007146_LEP80348_Hesperiidae_Pyrginae_Erynnini_Chiomara_mithrax,Hesperiidae,Chiomara mithrax,Lamiales,Lamiaceae,2,100,100
BN000258_MY201614_Hesperiidae_Coeliadinae_X_Choaspes_benjaminii_japonicus,Hesperiidae,Choaspes benjaminii,Proteales,Sabiaceae,46,100,100
BN003741_LEP61324_Hesperiidae_Hesperiinae_Astictopterini_Chondrolepis_niveicornis,Hesperiidae,Chondrolepis niveicornis,Poales,Poaceae,7,100,100
BN000261_NC11J017_Hesperiidae_Hesperiinae_Hesperiini_Choranthus_haitensis,Hesperiidae,Choranthus haitensis,Poales,Poaceae,3,100,100
BN006527_LEP33738_Hesperiidae_Hesperiinae_Hesperiini_Choranthus_radians,Hesperiidae,Choranthus radians,Poales,Poaceae,2,100,100
BN003420_LEP59329_Hesperiidae_Eudaminae_Eudamini_Ectomis_perniciosus,Hesperiidae,Chrysoplectrum perniciosus,Fabales,Fabaceae,1,100,100
SRR7174523_X_Hesperiidae_Eudaminae_Eudamini_Ectomis_pervivax,Hesperiidae,Chrysoplectrum pervivax,Fabales,Fabaceae,1,100,100
BN003427_LEP59336_Hesperiidae_Hesperiinae_Hesperiini_Cobalus_calvina,Hesperiidae,Cobalus calvina,Arecales,Arecaceae,1,100,100
SRR7174443_X_Hesperiidae_Eudaminae_Eudamini_Codatractus_alcaeus,Hesperiidae,Codatractus alcaeus,Fabales,Fabaceae,7,100,100
BN000264_LEP40053_Hesperiidae_Eudaminae_Eudamini_Codatractus_arizonensis,Hesperiidae,Codatractus arizonensis,Fabales,Fabaceae,2,100,100
SRR7174419_X_Hesperiidae_Eudaminae_Eudamini_Lobotractus_valeriana,Hesperiidae,Codatractus valeriana,Fabales,Fabaceae,1,100,100
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Fabales,Fabaceae,61,48.41269841,48.41269841
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Malpighiales,Chrysobalanaceae,2,5.555555556,1.587301587
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Malpighiales,Malpighiaceae,4,5.555555556,3.174603175
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Malpighiales,Rhizophoraceae,1,5.555555556,0.793650794
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Malvales,Malvaceae,10,7.936507937,7.936507937
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Myrtales,Combretaceae,36,28.57142857,28.57142857
ME12C818_X_Hesperiidae_Coeliadinae_X_Coeliades_forestan_X_ME,Hesperiidae,Coeliades forestan,Solanales,Solanaceae,12,9.523809524,9.523809524
SRR9330410_X_Hesperiidae_Coeliadinae_X_Coeliades_ramanatek,Hesperiidae,Coeliades ramanatek,Rosales,Cannabaceae,2,66.66666667,66.66666667
SRR9330410_X_Hesperiidae_Coeliadinae_X_Coeliades_ramanatek,Hesperiidae,Coeliades ramanatek,Sapindales,Meliaceae,1,33.33333333,33.33333333
SRR7174481_X_Hesperiidae_Eudaminae_Oileidini_Cogia_calchas,Hesperiidae,Cogia calchas,Fabales,Fabaceae,15,100,100
BN000274_LEP40097_Hesperiidae_Eudaminae_Oileidini_Cogia_hippalus,Hesperiidae,Cogia hippalus,Fabales,Fabaceae,3,100,100
BN005398_LEP53790_Hesperiidae_Hesperiinae_Hesperiini_Conga_chydaea,Hesperiidae,Conga chydaea,Zingiberales,Marantaceae,1,100,100
BN000277_LEP40120_Hesperiidae_Hesperiinae_Hesperiini_Copaeodes_aurantiaca,Hesperiidae,Copaeodes aurantiaca,Poales,Poaceae,9,100,100
BN000280_173_Hesperiidae_Hesperiinae_Hesperiini_Corticea_corticea,Hesperiidae,Corticea corticea,Poales,Poaceae,1,100,100
BN000282_626_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Creonpyge_creon,Hesperiidae,Creonpyge creon,Apiales,Araliaceae,2,100,100
BN005459_AAEW17A011_Hesperiidae_Trapezitinae_X_Croitana_croites,Hesperiidae,Croitana croites,Poales,Poaceae,10,100,100
SRR7174434_X_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Croniades_pieria,Hesperiidae,Croniades pieria,Magnoliales,Annonaceae,2,100,100
BN000288_MY2016HES5_Hesperiidae_Hesperiinae_Astictopterini_Cupitha_purreea,Hesperiidae,Cupitha purreea,Myrtales,Combretaceae,26,86.66666667,86.66666667
BN000288_MY2016HES5_Hesperiidae_Hesperiinae_Astictopterini_Cupitha_purreea,Hesperiidae,Cupitha purreea,unplaced asterid I,Boraginaceae,4,13.33333333,13.33333333
BN000290_LEP41735_Hesperiidae_Pyrginae_Erynnini_Cycloglypha_thrasibulus,Hesperiidae,Cycloglypha thrasibulus,Ericales,Styracaceae,1,33.33333333,33.33333333
BN000290_LEP41735_Hesperiidae_Pyrginae_Erynnini_Cycloglypha_thrasibulus,Hesperiidae,Cycloglypha thrasibulus,Magnoliales,Annonaceae,2,66.66666667,66.66666667
BN005102_06SRNP2006_Hesperiidae_Hesperiinae_Hesperiini_Cynea_cynea,Hesperiidae,Cynea cynea,Poales,Poaceae,1,100,100
BN000302_LEP40455_Hesperiidae_Tagiadinae_Tagiadini_Daimio_tethys,Hesperiidae,Daimio tethys,Dioscoreales,Dioscoreaceae,21,72.4137931,72.4137931
BN000302_LEP40455_Hesperiidae_Tagiadinae_Tagiadini_Daimio_tethys,Hesperiidae,Daimio tethys,Fagales,Betulaceae,5,27.5862069,17.24137931
BN000302_LEP40455_Hesperiidae_Tagiadinae_Tagiadini_Daimio_tethys,Hesperiidae,Daimio tethys,Fagales,Fagaceae,3,27.5862069,10.34482759
BN000304_LEP37056_Hesperiidae_Tagiadinae_Tagiadini_Darpa_pteria_dealbata,Hesperiidae,Darpa pteria,Magnoliales,Annonaceae,3,100,100
BN000306_468_Hesperiidae_Hesperiinae_Hesperiini_Decinea_decinea,Hesperiidae,Decinea decinea,Arecales,Arecaceae,1,100,100
BN000309_303_Hesperiidae_Trapezitinae_X_Dispar_compacta,Hesperiidae,Dispar compacta,Asparagales,Asparagaceae,4,22.22222222,22.22222222
BN000309_303_Hesperiidae_Trapezitinae_X_Dispar_compacta,Hesperiidae,Dispar compacta,Poales,Cyperaceae,2,77.77777778,11.11111111
BN000309_303_Hesperiidae_Trapezitinae_X_Dispar_compacta,Hesperiidae,Dispar compacta,Poales,Poaceae,12,77.77777778,66.66666667
BN000310_455_Hesperiidae_Eudaminae_Entheini_Drephalys_kidonoi,Hesperiidae,Drephalys kidonoi,Proteales,Proteaceae,1,100,100
BN003666_LEP61249_Hesperiidae_Hesperiinae_Hesperiini_Dubiella_dubius,Hesperiidae,Dubiella dubius,Arecales,Arecaceae,1,100,100
SRR7174379_X_Hesperiidae_Eudaminae_Phocidini_Dyscophellus_porcius,Hesperiidae,Dyscophellus porcius,Malpighiales,Euphorbiaceae,1,100,100
BN000312_LEP43443_Hesperiidae_Tagiadinae_Tagiadini_Eagris_sabadius,Hesperiidae,Eagris sabadius,Malvales,Malvaceae,29,67.44186047,67.44186047
BN000312_LEP43443_Hesperiidae_Tagiadinae_Tagiadini_Eagris_sabadius,Hesperiidae,Eagris sabadius,Sapindales,Anacardiaceae,6,32.55813953,13.95348837
BN000312_LEP43443_Hesperiidae_Tagiadinae_Tagiadini_Eagris_sabadius,Hesperiidae,Eagris sabadius,Sapindales,Sapindaceae,8,32.55813953,18.60465116
