Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.atLeast1source	Num.families.atLeast1source	mpd.obs.atLeast1source	mpd.rand.mean.atLeast1source	mpd.rand.sd.atLeast1source	mpd.obs.rank.atLeast1source	mpd.obs.z.atLeast1source	mpd.obs.p.atLeast1source	mntd.obs.atLeast1source	mntd.rand.mean.atLeast1source	mntd.rand.sd.atLeast1source	mntd.obs.rank.atLeast1source	mntd.obs.z.atLeast1source	mntd.obs.p.atLeast1source																		
SRR7174366_X_Hesperiidae_Pyrginae_Achlyodini_Eantis_pallida	Hesperiidae	Achlyodes pallida	325.049924	1	118	267.4639094	81.18555277	1	-1.841016096	0.01	118	271.2168973	89.42806658	1	-1.713297661	0.01	325.049924	1	118	266.9930824	82.27109552	1	-1.811001561	0.01	118	295.7632874	130.9161391	1	-1.357840894	0.01																		
ME12C975_X_Hesperiidae_Hesperiinae_Astictopterini_Acleros_ploetzi_X_ME	Hesperiidae	Acleros ploetzi	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000087_LEP47546_Hesperiidae_Hesperiinae_Hesperiini_Adopaeoides_prittwitzi	Hesperiidae	Adopaeoides prittwitzi	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
SRR7174424_X_Hesperiidae_Hesperiinae_Aeromachini_Aeromachus_stigmata	Hesperiidae	Aeromachus stigmata	325.049505	1	87.6679	267.2908832	81.45749425	1	-2.205113045	0.01	87.6679	268.4860796	91.65784682	1	-1.97275177	0.01	325.049505	1	87.6679	266.2503813	92.17644764	1	-1.937398173	0.01	87.6679	260.5265771	68.03416009	1	-2.540763006	0.01																		
BN000092_LEP40123_Hesperiidae_Hesperiinae_Megathymini_Agathymus_aryxna	Hesperiidae	Agathymus aryxna	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01	325.050132	1	135.10077	272.9490271	111.1553035	4.5	-1.240141071	0.045	135.10077	254.7522287	63.81722239	2	-1.874908594	0.02																		
SRR7174357_X_Hesperiidae_Hesperiinae_Megathymini_Agathymus_mariae	Hesperiidae	Agathymus mariae	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01	325.050132	1	135.10077	272.9490271	111.1553035	4.5	-1.240141071	0.045	135.10077	254.7522287	63.81722239	2	-1.874908594	0.02																		
BN000095_140_Hesperiidae_Eudaminae_Eudamini_Aguna_asander	Hesperiidae	Aguna asander	448.784992	2	247.46924	290.6874948	131.2076444	47	-0.329388238	0.47	247.46924	267.1127015	88.47405886	48	-0.222025097	0.48	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
SRR7174415_X_Hesperiidae_Eudaminae_Eudamini_Aguna_claxon	Hesperiidae	Aguna claxon	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
SRR7174413_X_Hesperiidae_Eudaminae_Eudamini_Aguna_metophis	Hesperiidae	Aguna metophis	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
BN003418_LEP59327_Hesperiidae_Hesperiinae_Hesperiini_Aides_duma	Hesperiidae	Aides duma	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02	325.050282	1	99.1432	266.1847499	96.44244036	3	-1.732033628	0.03	99.1432	274.82033	99.58683424	2	-1.764059791	0.02																		
BN000096_620_Hesperiidae_Tagiadinae_Celaenorrhinini_Alenia_namaqua	Hesperiidae	Alenia namaqua	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01	325.049922	1	69.4758	265.9516329	70.68433248	1	-2.779623518	0.01	69.4758	285.4768077	118.6120086	1	-1.821071999	0.01																		
BN000097_EI16D306_Hesperiidae_Coeliadinae_X_Allora_major	Hesperiidae	Allora major	325.050687	1	102.661	267.3312541	93.25298334	1	-1.765844354	0.01	102.661	261.7012227	107.8940745	4	-1.474040382	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000102_LEP40105_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_eos	Hesperiidae	Amblyscirtes eos	460.809005	2	271.516773	263.9542975	71.30762501	73	0.106054233	0.73	271.516773	291.5600511	129.9672904	71	-0.154217865	0.71	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000529_31_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_simius	Hesperiidae	Amblyscirtes simius	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000108_615_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_dioscorides	Hesperiidae	Ampittia dioscorides	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000109_FH16Y028_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_virgata	Hesperiidae	Ampittia virgata	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000110_LEP41820_Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus	Hesperiidae	Anastrus sempiternus	421.689385	2	193.27858	256.5876189	76.74010486	5	-0.824979833	0.05	193.27858	257.6863678	62.54620706	6	-1.029763287	0.06	325.050685	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000111_LEP28753_Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan	Hesperiidae	Anatrytone logan	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
RE06E025_X_Hesperiidae_Hesperiinae_Erionotini_Ancistroides_gemmifer_X_ME	Hesperiidae	Ancistroides gemmifer	325.050972	1	51.8437	276.3722704	97.49325708	1	-2.303016405	0.01	51.8437	288.837143	116.3574774	1	-2.036770203	0.01	325.050972	1	51.8437	256.751728	60.64569892	1	-3.378772635	0.01	51.8437	254.9435022	46.75319958	1	-4.344083486	0.01																		
BN000120_LEP27503_Hesperiidae_Hesperiinae_Hesperiini_Ancyloxypha_numitor	Hesperiidae	Ancyloxypha numitor	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000124_BNSZS00313_Hesperiidae_Hesperiinae_X_Andronymus_neander	Hesperiidae	Andronymus neander	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
BN005458_MFB18B046_Hesperiidae_Trapezitinae_X_Anisynta_cynone	Hesperiidae	Anisynta cynone	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
SRR9330369_X_Hesperiidae_Trapezitinae_X_Anisynta_dominula	Hesperiidae	Anisynta dominula	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000128_301_Hesperiidae_Trapezitinae_X_Anisynta_tillyardi	Hesperiidae	Anisynta tillyardi	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN003440_LEP59353_Hesperiidae_Hesperiinae_Ceratrichiini_Ankola_fan	Hesperiidae	Ankola fan	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000130_LEP32047_Hesperiidae_Hesperiinae_Hesperiini_Anthoptus_epictetus	Hesperiidae	Anthoptus epictetus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000135_617_Hesperiidae_Trapezitinae_X_Antipodia_atralba	Hesperiidae	Antipodia atralba	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01	325.050752	1	89.2401	262.8207994	72.26673719	1	-2.401944603	0.01	89.2401	270.919038	80.84103553	1	-2.247360351	0.01																		
BN005460_MFB17A081_Hesperiidae_Trapezitinae_X_Antipodia_chaostola	Hesperiidae	Antipodia chaostola	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01	325.050752	1	89.2401	262.8207994	72.26673719	1	-2.401944603	0.01	89.2401	270.919038	80.84103553	1	-2.247360351	0.01																		
SRR9330395_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Apallaga_opalinus	Hesperiidae	Apallaga opalinus	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01	325.049922	1	69.4758	265.9516329	70.68433248	1	-2.779623518	0.01	69.4758	285.4768077	118.6120086	1	-1.821071999	0.01																		
BN007003_LEP79670_Hesperiidae_Barcinae_X_Apostictopterus_fuliginosus	Hesperiidae	Apostictopterus fuliginosus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000138_LEP40127_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Apyrrothrix_araxes	Hesperiidae	Apyrrothrix araxes	325.050512	1	80.4628	270.4215538	92.34636629	1	-2.057024672	0.01	80.4628	255.8357654	60.36720587	1	-2.90510324	0.01	325.050512	1	80.4628	300.2387568	131.7885728	1	-1.667640465	0.01	80.4628	285.9052071	110.186168	1	-1.864502695	0.01																		
BN003660_LEP61243_Hesperiidae_Hesperiinae_Hesperiini_Argon_lota	Hesperiidae	Argon lota	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN003685_LEP61268_Hesperiidae_Hesperiinae_Hesperiini_Tigasis_arita	Hesperiidae	Arita arita	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN003668_LEP61251_Hesperiidae_Hesperiinae_Hesperiini_Aroma_aroma	Hesperiidae	Aroma aroma	325.050732	1	48.7098	274.7623792	98.65977496	1	-2.291233477	0.01	48.7098	282.6763307	103.1569421	1	-2.268063844	0.01	325.050732	1	48.7098	272.1352228	98.99361804	1	-2.256967946	0.01	48.7098	267.8391339	92.41242357	1	-2.371210768	0.01																		
BN000140_495_Hesperiidae_Hesperiinae_Hesperiini_Arotis_derasa	Hesperiidae	Arotis derasa	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus	Hesperiidae	Arrhenes dschilus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN006514_LEP33725_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_marnas	Hesperiidae	Arrhenes marnas	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
SRR7174564_X_Hesperiidae_Pyrginae_Carcharodini_Arteurotia_tractipennis	Hesperiidae	Arteurotia tractipennis	325.050651	1	123.7924	272.6642312	91.88160599	2	-1.620257173	0.02	123.7924	279.6619548	101.2440154	1	-1.539543392	0.01	325.050651	1	123.7924	270.749193	90.7738576	1	-1.618932994	0.01	123.7924	282.9545374	112.3572895	2	-1.416571529	0.02																		
BN003565_LEP61210_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_comus	Hesperiidae	Artitropa comus	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01	325.050132	1	135.10077	272.9490271	111.1553035	4.5	-1.240141071	0.045	135.10077	254.7522287	63.81722239	2	-1.874908594	0.02																		
BN006072_KA18141ABRI_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_erinnys	Hesperiidae	Artitropa erinnys	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01	325.050132	1	135.10077	272.9490271	111.1553035	4.5	-1.240141071	0.045	135.10077	254.7522287	63.81722239	2	-1.874908594	0.02																		
BN000142_LEP46510_Hesperiidae_Hesperiinae_Hesperiini_Asbolis_capucinus	Hesperiidae	Asbolis capucinus	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02	325.050282	1	99.1432	266.1847499	96.44244036	3	-1.732033628	0.03	99.1432	274.82033	99.58683424	2	-1.764059791	0.02																		
BN004759_EBMGCLHESP0010_Hesperiidae_Pyrrhopyginae_Passovini_Aspitha_aspitha	Hesperiidae	Aspitha aspitha	325.050844	1	121.5324	257.0776972	63.14409439	2	-2.146602916	0.02	121.5324	275.3480221	97.66303439	1	-1.574962554	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000145_MY2016HES63_Hesperiidae_Hesperiinae_Astictopterini_Astictopterus_jama	Hesperiidae	Astictopterus jama	431.785122	2	213.46856	257.466467	62.77834546	6	-0.700845279	0.06	213.46856	273.1196461	109.7748862	10	-0.543394652	0.1	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
SRR7174510_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_alector	Hesperiidae	Astraptes alector	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
SRR7174509_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_anaphus	Hesperiidae	Astraptes anaphus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
SRR7174545_X_Hesperiidae_Eudaminae_Eudamini_Astraptes_enotrus	Hesperiidae	Astraptes enotrus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus	Hesperiidae	Astraptes talus	522.778164	3	210.871048	276.9330575	81.67324159	2	-0.808857445	0.02	184.5839273	253.7762266	44.00881185	2	-1.572237385	0.02	443.629764	2	237.158172	274.0644512	103.5965669	23	-0.356250022	0.23	237.158172	275.3455052	97.56796552	17	-0.391392123	0.17																		
BN000154_LEP40074_Hesperiidae_Hesperiinae_Hesperiini_Atalopedes_campestris	Hesperiidae	Atalopedes campestris	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000155_188_Hesperiidae_Pyrginae_Achlyodini_Atarnes_sallei	Hesperiidae	Atarnes sallei	325.05054	1	142.4068	273.9012277	107.5704174	1	-1.222403248	0.01	142.4068	259.8004359	73.62548976	2	-1.594470017	0.02	325.05054	1	142.4068	280.9817432	103.7820514	1	-1.335249606	0.01	142.4068	286.930193	118.7646898	3	-1.216888566	0.03																		
BN003590_LEP61235_Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos	Hesperiidae	Atrytone arogos	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
SRR7174423_X_Hesperiidae_Hesperiinae_Hesperiini_Atrytonopsis_hianna	Hesperiidae	Atrytonopsis hianna	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN003436_LEP59345_Hesperiidae_Eudaminae_Entheini_Augiades_crinisus	Hesperiidae	Augiades crinisus	325.050484	1	103.4133	273.7663316	99.55306905	1	-1.711178101	0.01	103.4133	266.9302666	81.08632444	1	-2.016578847	0.01	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
SRR7174389_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_cellus	Hesperiidae	Autochton cellus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis	Hesperiidae	Badamia exclamationis	638.38437	4	225.596324	263.8482053	62.24428201	9	-0.614544502	0.09	187.016624	251.2971504	42.06797149	3	-1.528015831	0.03	638.38437	4	225.596324	259.6006932	46.09734069	9	-0.737664443	0.09	187.016624	242.5143572	42.66554495	5	-1.300762319	0.05																		
BN000165_MY2016HES16_Hesperiidae_Hesperiinae_Baorini_Baoris_farri_farri	Hesperiidae	Baoris farri	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000166_DL11Q040_Hesperiidae_Hesperiinae_Baorini_Baoris_oceia	Hesperiidae	Baoris oceia	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN007111_LEP79327_Hesperiidae_Hesperiinae_Aeromachini_Baracus_vittatus	Hesperiidae	Baracus vittatus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena	Hesperiidae	Bibasis sena	567.36355	3	244.0321387	258.9366428	56.22435321	33	-0.265089828	0.33	240.5951703	251.0152785	43.18527213	35	-0.241288468	0.35	567.36355	3	244.0321387	264.0459182	66.30729093	35	-0.30183377	0.35	240.5951703	246.3396725	42.64047086	44	-0.134719482	0.44																		
BN000170_BNSZS00335_Hesperiidae_Hesperiinae_Baorini_Borbo_borbonica	Hesperiidae	Borbo borbonica	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
BN000171_MY2016HES41_Hesperiidae_Hesperiinae_Baorini_Borbo_cinnara	Hesperiidae	Borbo cinnara	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01	325.050732	1	95.4795	288.8657614	112.8639077	1	-1.713446445	0.01	95.4795	264.6336525	83.08030286	1	-2.036031968	0.01																		
