Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p
SRR7174357_X_Hesperiidae_Hesperiinae_Megathymini_Agathymus_mariae	Hesperiidae	Agathymus mariae	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01
BN000095_140_Hesperiidae_Eudaminae_Eudamini_Aguna_asander	Hesperiidae	Aguna asander	448.784992	2	247.46924	290.6874948	131.2076444	47	-0.329388238	0.47	247.46924	267.1127015	88.47405886	48	-0.222025097	0.48
SRR7174415_X_Hesperiidae_Eudaminae_Eudamini_Aguna_claxon	Hesperiidae	Aguna claxon	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174413_X_Hesperiidae_Eudaminae_Eudamini_Aguna_metophis	Hesperiidae	Aguna metophis	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN003418_LEP59327_Hesperiidae_Hesperiinae_Hesperiini_Aides_duma	Hesperiidae	Aides duma	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
BN000096_620_Hesperiidae_Tagiadinae_Celaenorrhinini_Alenia_namaqua	Hesperiidae	Alenia namaqua	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01
BN000097_EI16D306_Hesperiidae_Coeliadinae_X_Allora_major	Hesperiidae	Allora major	325.050687	1	102.661	267.3312541	93.25298334	1	-1.765844354	0.01	102.661	261.7012227	107.8940745	4	-1.474040382	0.04
BN000102_LEP40105_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_eos	Hesperiidae	Amblyscirtes eos	460.809005	2	271.516773	263.9542975	71.30762501	73	0.106054233	0.73	271.516773	291.5600511	129.9672904	71	-0.154217865	0.71
BN000529_31_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_simius	Hesperiidae	Amblyscirtes simius	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000108_615_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_dioscorides	Hesperiidae	Ampittia dioscorides	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000109_FH16Y028_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_virgata	Hesperiidae	Ampittia virgata	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000110_LEP41820_Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus	Hesperiidae	Anastrus sempiternus	421.689385	2	193.27858	256.5876189	76.74010486	5	-0.824979833	0.05	193.27858	257.6863678	62.54620706	6	-1.029763287	0.06
BN000111_LEP28753_Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan	Hesperiidae	Anatrytone logan	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
RE06E025_X_Hesperiidae_Hesperiinae_Erionotini_Ancistroides_gemmifer_X_ME	Hesperiidae	Ancistroides gemmifer	325.050972	1	51.8437	276.3722704	97.49325708	1	-2.303016405	0.01	51.8437	288.837143	116.3574774	1	-2.036770203	0.01
BN000120_LEP27503_Hesperiidae_Hesperiinae_Hesperiini_Ancyloxypha_numitor	Hesperiidae	Ancyloxypha numitor	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000124_BNSZS00313_Hesperiidae_Hesperiinae_X_Andronymus_neander	Hesperiidae	Andronymus neander	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN005458_MFB18B046_Hesperiidae_Trapezitinae_X_Anisynta_cynone	Hesperiidae	Anisynta cynone	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR9330369_X_Hesperiidae_Trapezitinae_X_Anisynta_dominula	Hesperiidae	Anisynta dominula	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000128_301_Hesperiidae_Trapezitinae_X_Anisynta_tillyardi	Hesperiidae	Anisynta tillyardi	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN003440_LEP59353_Hesperiidae_Hesperiinae_Ceratrichiini_Ankola_fan	Hesperiidae	Ankola fan	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000130_LEP32047_Hesperiidae_Hesperiinae_Hesperiini_Anthoptus_epictetus	Hesperiidae	Anthoptus epictetus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000135_617_Hesperiidae_Trapezitinae_X_Antipodia_atralba	Hesperiidae	Antipodia atralba	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01
BN005460_MFB17A081_Hesperiidae_Trapezitinae_X_Antipodia_chaostola	Hesperiidae	Antipodia chaostola	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01
SRR9330395_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Apallaga_opalinus	Hesperiidae	Apallaga opalinus	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01
BN007003_LEP79670_Hesperiidae_Barcinae_X_Apostictopterus_fuliginosus	Hesperiidae	Apostictopterus fuliginosus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000138_LEP40127_Hesperiidae_Pyrrhopyginae_Pyrrhopygini_Apyrrothrix_araxes	Hesperiidae	Apyrrothrix araxes	325.050512	1	80.4628	270.4215538	92.34636629	1	-2.057024672	0.01	80.4628	255.8357654	60.36720587	1	-2.90510324	0.01
BN003660_LEP61243_Hesperiidae_Hesperiinae_Hesperiini_Argon_lota	Hesperiidae	Argon lota	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
BN003685_LEP61268_Hesperiidae_Hesperiinae_Hesperiini_Tigasis_arita	Hesperiidae	Arita arita	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN003668_LEP61251_Hesperiidae_Hesperiinae_Hesperiini_Aroma_aroma	Hesperiidae	Aroma aroma	325.050732	1	48.7098	274.7623792	98.65977496	1	-2.291233477	0.01	48.7098	282.6763307	103.1569421	1	-2.268063844	0.01
BN000140_495_Hesperiidae_Hesperiinae_Hesperiini_Arotis_derasa	Hesperiidae	Arotis derasa	325.050752	1	89.2401	261.6434252	60.01551743	1	-2.872645818	0.01	89.2401	280.9192883	112.6336429	1	-1.701793384	0.01
BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus	Hesperiidae	Arrhenes dschilus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN006514_LEP33725_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_marnas	Hesperiidae	Arrhenes marnas	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR7174564_X_Hesperiidae_Pyrginae_Carcharodini_Arteurotia_tractipennis	Hesperiidae	Arteurotia tractipennis	325.050651	1	123.7924	272.6642312	91.88160599	2	-1.620257173	0.02	123.7924	279.6619548	101.2440154	1	-1.539543392	0.01
BN003565_LEP61210_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_comus	Hesperiidae	Artitropa comus	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01
BN006072_KA18141ABRI_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_erinnys	Hesperiidae	Artitropa erinnys	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01
BN000142_LEP46510_Hesperiidae_Hesperiinae_Hesperiini_Asbolis_capucinus	Hesperiidae	Asbolis capucinus	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
BN004759_EBMGCLHESP0010_Hesperiidae_Pyrrhopyginae_Passovini_Aspitha_aspitha	Hesperiidae	Aspitha aspitha	325.050844	1	121.5324	257.0776972	63.14409439	2	-2.146602916	0.02	121.5324	275.3480221	97.66303439	1	-1.574962554	0.01
BN000145_MY2016HES63_Hesperiidae_Hesperiinae_Astictopterini_Astictopterus_jama	Hesperiidae	Astictopterus jama	431.785122	2	213.46856	257.466467	62.77834546	6	-0.700845279	0.06	213.46856	273.1196461	109.7748862	10	-0.543394652	0.1
SRR7174510_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_alector	Hesperiidae	Astraptes alector	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174509_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_anaphus	Hesperiidae	Astraptes anaphus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174545_X_Hesperiidae_Eudaminae_Eudamini_Astraptes_enotrus	Hesperiidae	Astraptes enotrus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus	Hesperiidae	Astraptes talus	522.778164	3	210.871048	276.9330575	81.67324159	2	-0.808857445	0.02	184.5839273	253.7762266	44.00881185	2	-1.572237385	0.02
BN000154_LEP40074_Hesperiidae_Hesperiinae_Hesperiini_Atalopedes_campestris	Hesperiidae	Atalopedes campestris	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000155_188_Hesperiidae_Pyrginae_Achlyodini_Atarnes_sallei	Hesperiidae	Atarnes sallei	325.05054	1	142.4068	273.9012277	107.5704174	1	-1.222403248	0.01	142.4068	259.8004359	73.62548976	2	-1.594470017	0.02
BN003590_LEP61235_Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos	Hesperiidae	Atrytone arogos	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR7174423_X_Hesperiidae_Hesperiinae_Hesperiini_Atrytonopsis_hianna	Hesperiidae	Atrytonopsis hianna	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN003436_LEP59345_Hesperiidae_Eudaminae_Entheini_Augiades_crinisus	Hesperiidae	Augiades crinisus	325.050484	1	103.4133	273.7663316	99.55306905	1	-1.711178101	0.01	103.4133	266.9302666	81.08632444	1	-2.016578847	0.01
SRR7174389_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_cellus	Hesperiidae	Autochton cellus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis	Hesperiidae	Badamia exclamationis	638.38437	4	225.596324	263.8482053	62.24428201	9	-0.614544502	0.09	187.016624	251.2971504	42.06797149	3	-1.528015831	0.03
BN000165_MY2016HES16_Hesperiidae_Hesperiinae_Baorini_Baoris_farri_farri	Hesperiidae	Baoris farri	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000166_DL11Q040_Hesperiidae_Hesperiinae_Baorini_Baoris_oceia	Hesperiidae	Baoris oceia	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN007111_LEP79327_Hesperiidae_Hesperiinae_Aeromachini_Baracus_vittatus	Hesperiidae	Baracus vittatus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena	Hesperiidae	Bibasis sena	567.36355	3	244.0321387	258.9366428	56.22435321	33	-0.265089828	0.33	240.5951703	251.0152785	43.18527213	35	-0.241288468	0.35
BN000170_BNSZS00335_Hesperiidae_Hesperiinae_Baorini_Borbo_borbonica	Hesperiidae	Borbo borbonica	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000171_MY2016HES41_Hesperiidae_Hesperiinae_Baorini_Borbo_cinnara	Hesperiidae	Borbo cinnara	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000182_LEP28822_Hesperiidae_Eudaminae_Phocidini_Bungalotis_astylos	Hesperiidae	Bungalotis astylos	325.050262	1	93.3981	268.1143526	92.12425734	1	-1.896528207	0.01	93.3981	283.1599767	107.3072351	1	-1.768397783	0.01
SRR7174382_X_Hesperiidae_Eudaminae_Phocidini_Bungalotis_erythus	Hesperiidae	Bungalotis erythus	325.050262	1	120	263.6313774	70.87786984	1	-2.026462953	0.01	120	270.4983701	80.44371164	1	-1.870853135	0.01
BN000189_MY2016HES43_Hesperiidae_Coeliadinae_X_Burara_harisa	Hesperiidae	Burara harisa	567.550842	3	252.1724733	258.3629275	39.55753668	40	-0.156492407	0.4	232.8278333	247.5679284	48.7938406	25	-0.302089258	0.25
BN000193_LEP37047_Hesperiidae_Coeliadinae_X_Burara_oedipodea	Hesperiidae	Burara oedipodea	443.6292	2	237.158208	259.5954976	73.24187562	18	-0.306345099	0.18	237.158208	280.9225766	104.9050821	20	-0.417180634	0.2
SRR7174380_X_Hesperiidae_Heteropterinae_Butleriini_Butleria_flavomaculatus	Hesperiidae	Butleria flavomaculatus	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000196_499_Hesperiidae_Eudaminae_Eudamini_Autochton_potrillo	Hesperiidae	Cabares potrillo	325.050576	1	61.1816	261.1467633	59.18779232	1	-3.378486601	0.01	61.1816	267.8856852	80.86386528	1	-2.556198427	0.01
BN000198_566_Hesperiidae_Hesperiinae_Astictopterini_Caenides_dacela	Hesperiidae	Caenides dacela	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
BN000202_Rvcoll11K159_Hesperiidae_Tagiadinae_Tagiadini_Calleagris_jamesoni	Hesperiidae	Calleagris jamesoni	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000207_144_Hesperiidae_Hesperiinae_Hesperiini_Calpodes_ethlius	Hesperiidae	Calpodes ethlius	465.649832	4	99.210095	266.5826577	61.21445852	1	-2.734199841	0.01	89.4187375	243.4914164	36.91041325	1	-4.174233375	0.01
BN000208_MY2016HES50_Hesperiidae_Hesperiinae_Baorini_Caltoris_cormasa	Hesperiidae	Caltoris cormasa	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000213_Rvcoll15D054_Hesperiidae_Tagiadinae_Tagiadini_Caprona_pillaana	Hesperiidae	Caprona pillaana	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
BN000214_LEP50734_Hesperiidae_Pyrginae_Carcharodini_Carcharodus_alceae	Hesperiidae	Carcharodus alceae	443.629704	2	237.158012	261.6266379	73.73700991	20	-0.331836426	0.2	237.158012	276.44337	105.5634996	21	-0.372149068	0.21
BN000218_RVcoll08R211_Hesperiidae_Pyrginae_Carcharodini_Muschampia_lavatherae	Hesperiidae	Carcharodus lavatherae	325.050552	1	142	289.3217293	123.5641318	2	-1.192269368	0.02	142	272.602494	90.67018156	2	-1.440412843	0.02
BN000222_RV04I110_Hesperiidae_Pyrginae_Pyrgini_Carrhenes_canescens	Hesperiidae	Carrhenes canescens	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
SRR7174471_X_Hesperiidae_Heteropterinae_Heteropterini_Carterocephalus_palaemon	Hesperiidae	Carterocephalus palaemon	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR7174425_X_Hesperiidae_Hesperiinae_Hesperiini_Carystus_phorcus	Hesperiidae	Carystus phorcus	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
SRR9330394_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_aurivittatus	Hesperiidae	Celaenorrhinus aurivittata	325.050562	1	64.188	264.9451671	82.64220963	1	-2.42923281	0.01	64.188	290.2867651	116.8242734	1	-1.935374889	0.01
BN000235_YI16P234_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_leucocera	Hesperiidae	Celaenorrhinus leucocera	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01
SRR9330396_X_Hesperiidae_Tagiadinae_Celaenorrhinini_Celaenorrhinus_patula	Hesperiidae	Celaenorrhinus patula	325.049922	1	69.4758	267.8434632	106.2759763	3	-1.866533435	0.03	69.4758	254.6821017	45.77850009	1	-4.04570489	0.01
BN000244_LEP40084_Hesperiidae_Pyrginae_Pyrgini_Celotes_nessus	Hesperiidae	Celotes nessus	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades	Hesperiidae	Cephrenes augiades	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
BN000252_BNSZS00096_Hesperiidae_Hesperiinae_Ceratrichiini_Ceratrichia_phocion	Hesperiidae	Ceratrichia phocion	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR9330382_X_Hesperiidae_Tagiadinae_Netrocorynini_Chaetocneme_critomedia	Hesperiidae	Chaetocneme critomedia	823.622587	5	259.3427698	268.1021393	54.6620456	75	-0.160245914	0.75	242.6957316	242.8274755	41.62902195	61	-0.003164712	0.61
SRR7174540_X_Hesperiidae_Eudaminae_Eudamini_Chioides_albofasciatus	Hesperiidae	Chioides albofasciatus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000255_LEP41169_Hesperiidae_Eudaminae_Eudamini_Chioides_catillus	Hesperiidae	Chioides catillus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000256_193_Hesperiidae_Pyrginae_Erynnini_Chiothion_asychis	Hesperiidae	Chiomara asychis	564.571157	3	242.1700833	287.7757576	98.96166629	24	-0.460841819	0.24	236.8709733	256.5322541	63.22577856	33	-0.310969374	0.33
SRR7174467_X_Hesperiidae_Pyrginae_Erynnini_Chiomara_georgina	Hesperiidae	Chiomara georgina	325.050687	1	102.661	267.3312541	93.25298334	1	-1.765844354	0.01	102.661	261.7012227	107.8940745	4	-1.474040382	0.04
BN007146_LEP80348_Hesperiidae_Pyrginae_Erynnini_Chiomara_mithrax	Hesperiidae	Chiomara mithrax	325.050552	1	142	289.3217293	123.5641318	2	-1.192269368	0.02	142	272.602494	90.67018156	2	-1.440412843	0.02
BN000258_MY201614_Hesperiidae_Coeliadinae_X_Choaspes_benjaminii_japonicus	Hesperiidae	Choaspes benjaminii	325.050662	1	136.383	267.5771089	81.00723472	1	-1.619535704	0.01	136.383	272.3842527	99.76728863	1	-1.363184813	0.01
BN003741_LEP61324_Hesperiidae_Hesperiinae_Astictopterini_Chondrolepis_niveicornis	Hesperiidae	Chondrolepis niveicornis	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN000261_NC11J017_Hesperiidae_Hesperiinae_Hesperiini_Choranthus_haitensis	Hesperiidae	Choranthus haitensis	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN006527_LEP33738_Hesperiidae_Hesperiinae_Hesperiini_Choranthus_radians	Hesperiidae	Choranthus radians	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
BN003420_LEP59329_Hesperiidae_Eudaminae_Eudamini_Ectomis_perniciosus	Hesperiidae	Chrysoplectrum perniciosus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174523_X_Hesperiidae_Eudaminae_Eudamini_Ectomis_pervivax	Hesperiidae	Chrysoplectrum pervivax	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN003427_LEP59336_Hesperiidae_Hesperiinae_Hesperiini_Cobalus_calvina	Hesperiidae	Cobalus calvina	325.050282	1	99.1432	268.7701696	81.46545073	1	-2.08219519	0.01	99.1432	282.7926664	112.9344683	2	-1.62615957	0.02
SRR7174443_X_Hesperiidae_Eudaminae_Eudamini_Codatractus_alcaeus	Hesperiidae	Codatractus alcaeus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000264_LEP40053_Hesperiidae_Eudaminae_Eudamini_Codatractus_arizonensis	Hesperiidae	Codatractus arizonensis	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174419_X_Hesperiidae_Eudaminae_Eudamini_Lobotractus_valeriana	Hesperiidae	Codatractus valeriana	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
